index,공원,도시
1,시소가 비에 젖어서 탈 수는 없을 거 같아. 물론 혼자서 탈 수도 없지만 말이야,원해서 하는 일과 할 수밖에 없는 일..
2,그네를 타고 점점 올라가면 하늘에 닿을 수 있을 거 같은 기분이야,아슬아슬한 외줄 타기는 마치 인생과 같은 거 같아
3,누군가 모래사장에 작은 삽을 두고 갔나 봐,건물 사이에 구름이 흘러가. 멋진 거 같아
4,아이들이 장난감 삽을 두고 간 걸까 음..,옥상에 전광판이 달려있어. 뭔가를 볼 수 있을 거라고 생각해
5,저기 흙에 고인 물웅덩이가 맑고 투명하구나,전광판을 보면 가끔 뭔가 보일 때가 있어
6,밤이 되면 전등에 불이 밝혀져서 좋아. 너무 어두우면 좀 그러니까,누군가 버린 쓰레기는 다른 누군가에게 쓸모가 있을까
7,미끄럼틀은 어릴 때나 지금이나 타도 재밌는 건 같아,길을 가다 보면 전단지를 많이 받아. 다양한 광고가 적혀있어
8,놀이터는 어린이를 위한 공간이지만 어른들도 가끔은 즐겨도 되지 않을까,차가 지나가는 도로가 가까이 가지 않도록 조심해야겠어
9,(흙이 묻은 작은 삽을 쳐다보고 있다),(건물을 올려다보고 있다.)
10,요즘 놀이터는 나무로 된 곳보다 플라스틱으로 된 곳이 더 많아졌어,(건물 사이에 구름을 쳐다보고 있다.)
11,뜨거운 날씨에 미끄럼틀을 타면 화상을 입을 수 있으니 조심해야 해,전깃줄은 마치 거미줄 같아. 서로 얽혀있어
12,징검다리를 건너는 것도 재밌을 때가 있지,더운 날에 아스팔트 위를 걷다 보면 뜨거워서 힘들어
13,놀이터 가운데 가끔 신문이 있을 때가 있어. 보면 좋을지도 모르겠네,사람들은 커피를 많이 마셔. 마실 수밖에 없는 걸까
14,생각을 비우고 있는 건 어려운 일이야. 항상 복잡하게 생각하고 있어서,비가 와서 공기는 좋지만 공원보다는 별로인 거 같아
15,잠시 머리를 비우고 아무 생각 없이 편하게 있는 것도 나쁘지 않다고 생각해,사람들의 우산이 각각 다른 모양이야. 색도 다르고
16,(바람에 흔들리는 우산을 잠시 쳐다봤다.),밤이 되면 건물이 밝아져. 그만큼 사람들이 일하고 있겠지..
17,몸이 눅눅해지는 기분이야. 감기 걸릴 수도 있으니 오래 있지는 말아야겠어,비둘기들은 어디서 나타나는 걸까
18,어릴 때는 놀이터가 크고 넓다고 생각했는데.. 어느 순간 이렇게 작아졌다고 느껴졌을까,저번에 참새가 전깃줄에 앉아 있던 걸 본 적이 있어
19,작아진 놀이터처럼 몸도 마음도 나도 모르는 사이에 커졌나 봐,만약 버스를 눈앞에서 놓친다면 오랫동안 기다려야 하겠지
20,(고개를 들어 하늘을 쳐다보고 있다. 비가 계속 내리고 있다.),잘살고 있다는 생각이 들더라도 아니라면 슬플  거야
21,바람이 좀 쌀쌀한 느낌이야. 시원한 것 같기도 하고 추운 것 같기도 해,나에게 주어진 시간을 잘 이용해야 좋겠지
22,밖에서 듣는 빗소리는 안에서 듣는 것과 다르구나. 둘 다 듣기에 좋아,(가게로 사람이 들어가는 모습을 보고 있다.)
23,(천둥 소리가 작게 들린다.) 이렇게 들려와도 실제로 본 것은 손에 꼽을 정도야,도시에는 다양한 가구를 살 수 있어서 좋아
24,가끔은 이렇게 외출을 하는 것도 좋지,1층에는 페인트 샵이 있고 2층에는 원단 샵이 있어서 좋지
25,어릴 때는 비가 오면 혼자 있을 때가 많아서 무서웠어,편리한 물건을 살 수 있다는 것에 감사해. 불편한 건 싫으니까
26,개구리 소리를 들으려면 어디로 가야할까? 어딘가에 숨어 있는 거 같아,웃으면서 대화를 해도 뒤는 어떤 생각을 하고 있을지 모르는 법이야
27,크게 소리를 지른다면 빗속에 소리가 묻히겠지,광대처럼 웃으며 살 수는 없어. 웃고 싶어서 웃는 것이 아닐 수도 있어
28,비록 몸은 차갑지만 마음이라도 따뜻해졌으면 좋겠어. 무엇이든 간에,모두가 맞는다고 생각하더라도 나는 틀린다고 생각할 수 있어
29,이렇게 밖으로 나와서 빗소리를 감상하는 것도 나쁘지 않아. 바깥 풍경도 보고 좋은 거지,언젠가는 도시에도 공기가 맑은 날이 올 거라 믿어
30,하늘을 보니까 구름이 정말 어둡고 많이 있구나,(하늘을 보며 하품을 하고 있다.)
31,좋은 것과 나쁜 것은 마치 짝꿍처럼 항상 같이 따라다녀. 어쩔 수 없나 봐,괜찮아. 힘들지만 아직 버틸만해
32,비 때문에 흙이 질퍽해져서 신발이 더러워지니까 ..이건 별로 좋진 않네,지치더라도 힘들더라도 그대로여도 괜찮아
33,비는 누군가 흘린 눈물이라고도 말한다는데 ..누가 이렇게 서럽게 울고 있을까,나쁜 마음을 고치기 위해서는 어떤 노력을 해야 할까
34,빗속에서 눈물을 흘리면 아무도 모르겠지. 빗물에 씻겨 내려가니까,배고프다면 무언가를 먹어야겠지 ..음
35,하염없이 흐르는 빗물을 보면 끝은 어디로 도달할까 궁금해져,실수는 할 수 있지만 고의적이라면 용서받기 힘들겠지
36,(흐르는 빗물을 말없이 쳐다보고 있다.),윗사람을 대하는 것은 언제나 어려운 법이야
37,흙 모래성을 누가 만들어 놓고 갔나 봐,전단지에 있는 광고는 정말 진실인지 궁금해
38,흙 모래성을 생각보다 튼튼하게 만들었는지 비가와도 무너지지 않네,헬스장 전단지를 봤는데 1주일에 10kg을 뺄 수 있대
39,기분 전환은 한순간 이지만 그 뒤에 기분이 어떻게 될지는 모르지,이 근처에 맛집이라도 있는 걸까. 맛있는 냄새가 나
40,울타리 너머로 무엇이 있을지 뭐가 생길지 알 수 없어,(어딘가에서 작은 음악 소리가 들려온다.) 가게에서 나는 소리일까?
41,밤에 보는 놀이터는 낮에 보는 것과 다른 분위기를 느낄 수 있어,자동문이 있어서 편리해
42,내가 들고 있는 우산이 꽤 튼튼한 편인가 봐,저번에 문을 열다가 손가락에 찧어질 뻔한 적이 있어 ..으
43,시소 밑에 받침대가 비 때문에 손상될까 봐 걱정이 돼,빗물은 하수도로 흘러내려 가겠지
44,그네를 타고 있을 때 위를 보면 혼자 움직이는 기분이 들어,전봇대는 튼튼해. 물렁물렁하면 안되니까
45,이런 날씨에 벤치에 누군가 앉아 있지는 않겠지,음.. 다음번에는 무엇을 할까
46,두껍아. 두껍아. 헌 집 줄께 새집 다오 (흥얼거리며 부르고 있다.),마음을 내려놓고 조용히 집중한다면 ..음
47,밤에 시장가면 맛있는 걸 먹을 수 있던데 ..음,창문의 불빛이 밤을 더 밝게 해주는 거 같아
