index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
1,..안녕,..또 왔네 안녕,또 왔구나 ..반갑네,왔구나 안녕 ..반가워,안녕 오늘도 반가워,안녕 오늘도 반가운 날이야,어서 와. 오늘도 안녕,안녕 천천히 쉬다 가렴,오늘은 언제 오나 했어. 어서 와,어제도 오늘도 내일도.. 언제나 찾아오는구나. 정말 고마워
2,(별다른 관심이 없어 보인다.),그냥 앉아 있어.. 그게 다야,난 그냥 앉아 있어.. 그게 다야,먹고 싶은 거 마음대로 안 먹은 지 오래되었어,"영화의 제목처럼 세상에는 좋은 사람과 나쁜 사람, 그리고 이상한 사람이 공존하는 거 같아",Z어딘가로 여행을 떠난다면 어디로 가는 것이 좋을까|산|어릴 때 산에서 벌레에 물린 기억이 나|바다|바다에 가보고 싶어.. 안 가본 지 오래되었거든,오늘은 뭐 하고 지낼까 생각 중이야,오늘은 뭘 하면서 하루를 보낼지 흠..,어제도 오고 오늘도 오는구나 넌,너랑 함께 지낸 지 얼마나 된 건지.. 자주 보내는 시간이 많아
3,나에게 할 말이라도 있니..,다리에 쥐가 나서 못 움직이겠어,등이 가려운데 손이 잘 안 닿아,밖으로 나간다면 ..아니다,밖으로 나간다면 여기저기 둘러보고 싶어 ..여행도 좋고,식사는 보통 혼자 하는 편이지.. 곁에 누군가 있지 않다면,이제 밖으로 나갈 수 있게 되어서 좋기도 하지만 두렵기도 해,Z달콤한 간식을 좋아하니?|응|나는 사탕이랑 초콜릿 둘 다 달콤해서 좋아|아니|단 거 말고 뭐가 있을까. 신 것도 있고 쓴 것도 있고,아무리 생각해도 넌 정말 이상한 사람이야,처음 봤을 때 넌 이상했어. 솔직히 나랑 계속 대화할 줄 몰랐거든
4,음.. 어..,등이 가려운데 손이 잘 안 닿아,지금 내가 잘살고 있는 건지 모르겠어 확신이 없거든,따뜻한 차를 마시며 쉬고 싶어,산에 올라간다면 있는 힘껏 소리를 지를 거야. 아주 힘차게,산에 올라가서 시원한 바람을 느끼고 싶어,언젠가 빛나고 화려한 삶까지는 아니더라도 나에게 작은 행복을 가져다주는 삶을 살고 싶어,표현은 서툴지만 조금씩 연습해서 표현한다면 언젠가 잘 표현하는 날이 오겠지?,말을 너무 많이 하면 목이 말라,추억은 점점 잊혀 가는 데 너와 함께한 추억은 잊고 싶지 않아
5,그렇구나..,..머리가 무거워 어지러운 것 같기도..,뭘 하려고 그랬지 기억이 안 나,간지러워서 밑을 봤는데 작은 벌레가 기어가고 있었어.,아플 때 혼자라면 어쩔 수 없지만 누군가가 나를 걱정해 주면 좋을 거 같아,아플 때 혼자 있으니까 더 아픈 느낌이었어 ..지금은 좀 나은 거 같기도,삶이라는 게 뭔지 정의되어 있지 않아. 마치 새하얀 도화지처럼,예전에는 정말 아무것도 하기 싫었는데 요즘은 그런 생각을 안 한 지 오래된 거 같아,Z계절이 바뀐다는 것은 정말 신기해|맞아|사계절이 있다는 것은 좋은 거야. 여러 가지 풍경을 볼 수 있거든|글쎄 |한 계절만 좋아 할 수도 변하는 것을 좋아하지 않을 수도 있지,좋은 추억을 만들어준 너에게 감사하다고 말하고 싶어 ..이미 말하고 있네
6,왜? 보고 있어?,지금 내가 잘살고 있는 건지 모르겠어,거북이는 어떤 소리를 내며 우는 걸까,독서를 하면서 그 세상에 빠져있어서 집중해,온종일 집에만 있으면 몸이 뻐근할 거야 돌아다녀 봐야지,(굴러가는 먼지를 쳐다보고 있다.),밖에 나갈 수 있으니 아침 산책이라도 할까 생각 중이야,(작게 헛기침을 했다. 내 눈치를 보는 듯하다가 이내 고쳐잡았다.),요즘에는 꿈을 자주 꾸는 거 같아. 생각도 나고,(서로 마주 보며 웃는다. 기분이 좋은 듯하다.)
7,하암.. 피곤해,뭘 하려고 그랬지,행복이란 건 뭘까 음..,크게 소리 지르고 싶을 때가 있어 ,아래층에는 요리할 수 있어서 좋은 거 같아. 시켜 먹을 필요가 없으니까,(시선이 느껴져 쳐다봤지만 아무것도 없었다.),요즘 몸이 조금 건강해지는 기분이야,밖으로 나갈 수 있게 되어서 좋기도 하지만 두렵기도 해,즐겁고 행복한 삶을 살면 하루하루 기분이 좋을 거라고 생각해,(손을 내밀자 손을 잡았다. 온기가 느껴진다.)
8,졸리네..,나에게 할 말이라도 있니?,언젠가 비가 그치긴 하겠지 ..언젠가는,(눈이 마주쳤지만 조금 쳐다보고 돌아봤다.),앞쪽 창문과 뒷쪽 창문의 디자인은 같아,언젠가 빛나고 화려한 삶까지는 아니더라도 나에게 가져다주는 작은 행복을 주는 삶을 살고 싶어,예전에는 밥 먹기 귀찮았는데 이제는 삼시 세끼 꼬박 챙겨 먹어,요즘 몸이 조금 건강해지는 기분이야. 밖으로 나가는 것 때문일까,(천천히 자신을 보고 있다.) ,언젠가 사진을 찍고 싶어. 남는 건 사진뿐이다는 말이 있듯이 추억을 보관하고 싶어
9,..계속 그렇게,자고 있을 때 벌레 나오면 무서울 것 같아,내가 밖으로 나갈 수 있는 용기가 생기긴 할까.. 확신이 없어,이런 날씨에는 선크림도 필요 없겠지,사다리 덕분에 위층으로 올라갈 수 있어서 좋아,가전제품이 있지만 전기를 아껴야 하기 때문에 얼마 못 써,위층은 잠자기 좋은 장소인 거 같아 ..아늑해,밖으로 나간다는 것은 작은 모험과도 같아. 무엇이 있을지 모르거든,아이스 아메리카노를 마시다가 어느 순간 얼음밖에 안 남으면 아쉬워,지금 순간이 나에게 하나 뿐인 순간이라서 더 소중한 거 같아
10,어.. 여기 있을 예정이니?,밖에 비가 오는구나,햇빛이 얼마나 밝고 따뜻했을까? 이제는 기억이 희미해져,아플 때 누군가 내 곁에 없다는 것에 익숙해졌어 ..익숙해,Z고층 빌딩에서 산다면 어떤 기분일까?|무서워|정말 높은 곳이기 때문에 무서운 걸까|별로|올라가 본적이 없어서 생각조차 되지도 않아,시간이 벌써 이렇게 갔구나.. 너랑 있으면 시간 가는 줄 모르는 거 같아,아래층은 밥 먹기 좋은 장소야 ..딱 봐도 그렇지,Z내가 아직 못 가본 세상은 얼마나 넓을까?|많이|방이 이렇게 작으니까 밖은 훨씬 넓을 거라고 생각해|조금|생각보다 작을 수도 있겠네 ..음,봄에는 벚꽃을 볼 수 있어서 좋아. 일 년에 한번뿐인 순간이니까,나는 원래 이렇게 수다쟁이가 아니었어. 말수가 적은 편이었지
11,가더라도 말리지 않아,(콜록 콜록) ..신경쓰지마,따뜻하고 부드러운 핫케이크가 먹고 싶어,밤이 되면 세상이 조용해져서 빗소리가 더 강하게 들려와,시간이 벌써 이렇게 흘렀네.. 오늘 하루도 적당히 보낸 거 같아,구름 사이로 작은 햇빛을 본 거 같아 ..꿈이었을까?,오늘은 잠을 푹 자고 싶어 (하품 하는 소리가 난다),음.. 그냥 이것저것 생각하고 있었어,여름이 되면 바다에 놀러 가 수영하면 기분이 좋을 거 같아,사람은 갑자기 변하면 무슨 일 있는 거 아닌가 하고 걱정을 하지. 내 이야기는 아니니까 걱정하지 마
