1,2,3
한마디,-,이거 마시고 힘내!
사자성어,我田引水 아전인수,자신의 이익을 먼저 생각하고 행동한다는 뜻
한마디,-,우유를 따듯하게 데워마시면 좋지
사자성어,甘言利說 감언이설,달콤한 말이나 이로운 이야기로 남을 현혹하는 뜻
한마디,-,부드러운 우유와 함께 빵을
사자성어,乾坤一擲 건곤일척,모든 것을 걸고 단 한 판에 승부를 겨룬다는 뜻
한마디,-,우유에는 잠이 잘 오게 해주는 성분이 들어있어
한마디,-,우유는 다른 음식과 같이 먹기 좋아
사자성어,殺身成仁 살신성인,자기를 희생하여 인(仁)을 이루다는 뜻
한마디,-,천천히 마시도록 하자
한마디,-,우유 한 잔에 담긴 추억 하나
사자성어,三顧草廬 삼고초려,인재를 맞이하기 위해 참을성 있게 노력한다는 뜻
사자성어,塞翁之馬 새옹지마,일어날 화나 복은 변화가 많아 예측하기 어렵다는 뜻
한마디,-,매울 때 우유를 먹으면 좋아
한마디,-,우유를 보면 하얀 눈 같아
사자성어,事必歸正 사필귀정,모든 일은 반드시 바른 대로 돌아간다는 뜻
한마디,-,힘들다면 조금 쉬는 것도 괜찮아
사자성어,山戰水戰 산전수전,여러 고생과 어려움을 겪었다는 뜻
한마디,-,언제나 밝은 하루를 보내길
사자성어,多多益善 다다익선,많으면 많을수록 좋다는 뜻
사자성어,結草報恩 결초보은,죽어서도 잊지 않고 은혜를 갚는다는 뜻
한마디,-,무엇을 하던 건강이 최고야
한마디,-,좋은 일만 가득하길!
사자성어,苦盡甘來 고진감래,고생 끝에 낙이 온다는 뜻
한마디,-,겨울에는 따뜻한 우유 한 잔
한마디,-,너무 많이 마시면 몸에 안 좋을 수도 있어
사자성어,聞一知十 문일지십,하나를 들으면 열을 안다는 것으로 총명하다는 뜻
사자성어,背恩忘德 배은망덕,은혜를 저버리고 덕을 잊어버린다는 뜻
한마디,-,우유 한 잔으로 속이 든든해져
사자성어,群鷄一鶴 군계일학,무리 중에서 뛰어난 인물이라는 뜻
한마디,-,씻은 후에 마시는 우유는 최고야
사자성어,錦衣還鄕 금의환향,타향에서 성공하여 고향으로 돌아온다는 뜻
